2019-11-13 20:52:53,604 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! UNCOMMON chest at coords: -88 66 152
2019-11-13 20:53:01,071 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: -56 64 248
2019-11-13 20:54:33,802 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: 24 57 312
2019-11-13 20:54:44,600 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! UNCOMMON chest at coords: -232 44 472
2019-11-13 20:54:52,384 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: -236 55 552
2019-11-13 20:55:13,327 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2019-11-13 20:55:13,328 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! RARE chest at coords: -138 50 662
2019-11-13 20:55:14,184 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: -232 68 648
2019-11-13 20:55:19,157 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: -232 57 744
2019-11-13 20:55:27,463 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! SCARCE chest at coords: -296 53 840
2019-11-13 20:55:38,399 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! UNCOMMON chest at coords: -88 50 840
2019-11-13 20:56:00,658 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: -200 53 955
2019-11-13 20:57:47,506 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2019-11-13 20:57:47,506 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! SCARCE chest at coords: -408 38 808
